chaps_id,cowID,Bull_turnout_date,conceptdate,breeddate,breedwt,breedcond,weandate,weanwt,Wean_Condition_Score
406,U8057,2009-06-18,,,0,0,15-Oct-10,990,6
406,U8057,2010-06-01,16-Aug-10,01-Jun-10,858,6,,0,0
407,U8058,2009-06-18,,,0,0,15-Oct-10,1060,7
407,U8058,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1170,6
407,U8058,2011-08-08,14-Oct-11,14-Oct-11,1170,6,15-Nov-12,1120,6
407,U8058,2012-08-01,18-Oct-12,18-Oct-12,1200,6,,0,0
408,U8080,2009-06-18,,,0,0,15-Oct-10,938,5
408,U8080,2010-06-01,16-Aug-10,01-Jun-10,830,5,,0,0
10138,U8081,2009-06-18,,,0,0,15-Oct-10,964,6
10138,U8081,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1090,6
10138,U8081,2011-08-08,14-Oct-11,14-Oct-11,1090,6,15-Nov-12,1020,5
10138,U8081,2012-08-01,18-Oct-12,20-Jul-12,1090,6,14-Nov-13,1200,5
10138,U8081,2013-08-01,01-Aug-13,17-Jul-13,1200,5,17-Nov-14,1225,6
10139,U8082,2009-06-18,,,0,0,15-Oct-10,1035,6
10139,U8082,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1145,5
10139,U8082,2011-08-08,14-Oct-11,14-Oct-11,1145,5,15-Nov-12,1165,5
10139,U8082,2012-08-01,18-Oct-12,20-Jul-12,1245,6,14-Nov-13,1305,5
